ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
8087,8087,ãhĩ̵́ró hupéa,rodillaknee21112,false,expert,Chacon2017,(   -   -   -   -   )   ã   h   ĩ ̵   r   o   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -,,Chacon2017
8088,8088,kehéró,pielskin18827,false,expert,Chacon2017,k   e   -   h   e   r   o,,Chacon2017
8089,8089,kahéró,pielskin18827,false,expert,Chacon2017,k   a   -   h   e   r   o,,Chacon2017
8090,8090,õã́ro,huesobone11569,false,expert,Chacon2017,-   õ   -   ã   r   o,,Chacon2017
8091,8091,õã,huesobone11569,false,expert,Chacon2017,-   õ   -   ã   -   -,,Chacon2017
8092,8092,díí,sangreblood21567,false,expert,Chacon2017,(   -   -   )   d   i i   (   -   -   -   -   -   -   -   -   ),,Chacon2017
8093,8093,bóhóká,gentepeople26730,false,expert,Chacon2017,b   o   -   h   o   k   a,,Chacon2017
8094,8094,bãìdĩì̵,maridoesposohusband13940,false,expert,Chacon2017,b   ã   i   d   ĩ   -   -   i ̵,,Chacon2017
8095,8095,paakí̵,padrefather17463,false,expert,Chacon2017,p   a a   -   k   i ̵,,Chacon2017
8096,8096,káaki̵,padrefather17528,false,expert,Chacon2017,k   a a   k   i ̵,,Chacon2017
8097,8097,bí̵kí̵,viejooldman25197,false,expert,Chacon2017,-   -   b   i ̵   k   i ̵   -   -   -,,Chacon2017
8098,8098,ókó,aguawater26319,false,expert,Chacon2017,-   -   o   k   o   -,,Chacon2017
8099,8099,día,rioriver21297,false,expert,Chacon2017,-   d   i   a   -   -,,Chacon2017
8100,8100,jukí̵ pooga,islaisland11959,false,expert,Chacon2017,j   u   k   i ̵   -,,Chacon2017
8101,8101,i̵tá bi̵ki̵ra,lagolake12404,false,expert,Chacon2017,-   -   -   -   -   i ̵   t   a   -   -   -   -   -   -   -   -,,Chacon2017
8102,8102,upákabĩ́ jepa,pantanoswamp17733,false,expert,Chacon2017,u   p   a   -   -   -   -   -   -   -   -   k   a   b   ĩ,,Chacon2017
8103,8103,tatá,pantanoswamp17703,false,expert,Chacon2017,-   -   -   -   -   -   t   a   t   a   -   -   -   -   -,,Chacon2017
8104,8104,póéá,catarataraudalrapids4273,false,expert,Chacon2017,p   o   -   e   -   a,,Chacon2017
8105,8105,pekábẽ,candelafuegofire3643,false,expert,Chacon2017,p   e   k   a   -   -   b   ẽ   -   -   (   -   -   ),,Chacon2017
8106,8106,peká,candelafuegofire3643,false,expert,Chacon2017,p   e   k   a   -   -   -   -   -   -   (   -   -   ),,Chacon2017
8107,8107,ĩ̵bĩ̵́reko bãkĩ̵ bũĩ́pũ,solsun26737,false,expert,Chacon2017,ĩ ̵   b   ĩ ̵   r   e   k   o   -   -   -   -,,Chacon2017
8108,8108,jã́bĩ bãkĩ̵ bũĩ́pũ,lunamoon13457,false,expert,Chacon2017,j   ã   b   ĩ,,Chacon2017
8109,8109,jṍkṍ,estrellastar26358,false,expert,Chacon2017,-   -   -   j   õ   k   õ   -   -   -,,Chacon2017
8110,8110,jã́bĩ́,nochenight15896,false,expert,Chacon2017,j   ã   b   ĩ,,Chacon2017
8111,8111,hitá,tierraearth23369,false,expert,Chacon2017,h   i   -   t   a   -   -,,Chacon2017
8112,8112,jepá,tierraearth1,false,expert,Chacon2017,-   j   e   -   p   a   -   -,,Chacon2017
8113,8113,ĩ̵tã́gá,piedrastone18644,false,expert,Chacon2017,-   -   -   -   -   ĩ ̵   t   ã   -   -   g   a   -   -   -   -   -   -,,Chacon2017
8114,8114,wíí,casahouse23190,false,expert,Chacon2017,w   i i,,Chacon2017
8115,8115,bṹĩ́,techoroof23169,false,expert,Chacon2017,(   -   -   )   b   ũ   -   -   ĩ   -   -   (   -   -   -   -   ),,Chacon2017
8116,8116,dẽ́ẽ pũũ wẽ́dĩ́ro,esteramat9031,false,expert,Chacon2017,d   ẽ ẽ,,Chacon2017
8117,8117,dẽ́ẽ pũũ kéhéró,esteramat9031,false,expert,Chacon2017,d   ẽ ẽ,,Chacon2017
8118,8118,pṹṹgí̵,hamacahammock10758,false,expert,Chacon2017,p   ũ ũ   -   g   i ̵,,Chacon2017
8119,8119,bãã́,caminosenderotrochapathtrail3469,false,expert,Chacon2017,(   -   -   -   -   -   )   -   -   b   ã ã   -   -,,Chacon2017
8120,8120,páíribãã,caminosenderotrochapathtrail3469,false,expert,Chacon2017,(   p   a   i   r   i   )   -   -   b   ã ã   -   -,,Chacon2017
8121,8121,bapígi̵,redfishnet20793,false,expert,Chacon2017,b   a   p   i   g   i ̵,,Chacon2017
8122,8122,kõbẽ́ã,hachaaxe10688,false,expert,Chacon2017,k   õ   b   ẽ   ã,,Chacon2017
8123,8123,wídéricápĩĩ,cuchilloknife6698,false,expert,Chacon2017,-   w   i   -   d   e   -   -   r   i   c   a   p   ĩ ĩ   -   -,,Chacon2017
8124,8124,kṹbṹã́,canoacanoe3689,false,expert,Chacon2017,k   ũ   b   ũ   ã,,Chacon2017
8125,8125,wáarikáro,remopaddle20942,false,expert,Chacon2017,w   a a   -   -   -   r   i   k   a   r   o   -   -,,Chacon2017
